scenario_info,passenger_id,psgrNum,dep_node,dep_node_expanded,arr_node,calltime,shuttleid,expectedwaitingtime,expectedarrivaltime,waitstarttime,pathChanged,boardingtime,success,shuttleID,arrivaltime,increased_time
2026-03-02 22:09:11_100_0.3_91,11,4,dynamic_11,"(126.83013000701857, 37.30406810092887)",0349,921,SHUTTLE0006,118.2673049113276,255.26730491132759,921.0,,1076.0,True,SHUTTLE0006,1256.0,-75.26730491132759
2026-03-02 22:09:11_100_0.3_91,12,2,dynamic_12,"(126.83053746948697, 37.29628023145331)",0077,944,SHUTTLE0004,254.22123512095715,271.22123512095715,944.0,,1159.0,True,SHUTTLE0004,1374.0,-56.22123512095715
2026-03-02 22:09:11_100_0.3_91,13,2,dynamic_13,"(126.83965307361574, 37.29782192394257)",0274,970,SHUTTLE0002,252.37158501914584,123.37158501914584,970.0,1.0,1199.0,True,SHUTTLE0002,1319.0,-3.37158501914584
2026-03-02 22:09:11_100_0.3_91,14,4,dynamic_14,"(126.82852808105432, 37.288810097326724)",0456,1002,SHUTTLE0003,231.0995634330011,110.0995634330011,1002.0,1.0,1222.0,True,SHUTTLE0003,1352.0,19.900436566998906
2026-03-02 22:09:11_100_0.3_91,15,3,dynamic_15,"(126.83817550795466, 37.297312795992575)",0116,1042,SHUTTLE0005,300.1444457719729,197.14444577197293,1042.0,1.0,1307.0,True,SHUTTLE0005,1627.0,122.85555422802707
2026-03-02 22:09:11_100_0.3_91,16,2,dynamic_16,"(126.83504513501143, 37.296241319740744)",0461,1057,SHUTTLE0003,276.54621443623864,342.34708757023645,1057.0,,1307.0,True,SHUTTLE0003,1507.0,-142.34708757023645
2026-03-02 22:09:11_100_0.3_91,17,4,dynamic_17,"(126.84557120074136, 37.30367305111795)",0482,1120,SHUTTLE0001,231.07679362169563,107.07679362169563,1120.0,,1255.0,True,SHUTTLE0001,1360.0,-2.0767936216956286
2026-03-02 22:09:11_100_0.3_91,18,2,dynamic_18,"(126.83980546449062, 37.29633824545123)",0274,1124,SHUTTLE0002,97.93521280629334,135.19204276800167,1124.0,,1244.0,True,SHUTTLE0002,1375.0,-4.19204276800167
2026-03-02 22:09:11_100_0.3_91,19,2,dynamic_19,"(126.85204105709262, 37.3038402828873)",0173,1141,SHUTTLE0006,311.1939490465906,208.1939490465906,1141.0,,1371.0,True,SHUTTLE0006,1545.0,-34.1939490465906
2026-03-02 22:09:11_100_0.3_91,20,4,dynamic_20,"(126.83645890980806, 37.30073812413057)",0162,1360,SHUTTLE0002,82.35173359433294,111.35173359433296,1360.0,,1430.0,True,SHUTTLE0002,1525.0,-16.351733594332956
2026-03-02 22:09:11_100_0.3_91,21,2,dynamic_21,"(126.83194331428969, 37.30984325847815)",0398,1442,SHUTTLE0005,27.08325860445958,0.0832586044595788,1442.0,,1517.0,True,SHUTTLE0005,1542.0,24.91674139554042
2026-03-02 22:09:11_100_0.3_91,22,1,dynamic_22,"(126.83739657110384, 37.29762586758092)",0221,1500,SHUTTLE0006,102.30780976371832,177.30780976371832,1500.0,4.0,1705.0,True,SHUTTLE0006,,
2026-03-02 22:09:11_100_0.3_91,23,1,dynamic_23,"(126.83739657110384, 37.29762586758092)",0221,1500,SHUTTLE0002,109.30780976371832,177.30780976371832,1500.0,4.0,1705.0,True,SHUTTLE0002,,
2026-03-02 22:09:11_100_0.3_91,24,1,dynamic_24,"(126.83739657110384, 37.29762586758092)",0221,1500,SHUTTLE0006,102.30780976371832,177.92342929115497,1500.0,3.0,1600.0,True,SHUTTLE0006,,
2026-03-02 22:09:11_100_0.3_91,25,1,dynamic_25,"(126.83739657110384, 37.29762586758092)",0221,1500,SHUTTLE0002,109.30780976371832,177.92342929115497,1500.0,3.0,1600.0,True,SHUTTLE0002,,
