Scenario,Condition,Seed,Group,N_rows,N_success,MeanWait,MedianWait,P95Wait,Gini,TargetRequestedN,TargetSuccessN,TargetFailedN,TargetComplete10
Festival,Poisson,32,Target,10,10,243.1,249.0,371.9,0.22760180995475113,10,10,0,1
Festival,Poisson,32,Background,44,41,174.02439024390245,155.0,430.0,0.30774437246825165,10,10,0,1
Festival,Poisson,32,Total,54,51,187.5686274509804,160.0,409.5,0.30541583139632605,10,10,0,1
Festival,Poisson,33,Target,10,10,179.6,164.5,304.25,0.27037861915367484,10,10,0,1
Festival,Poisson,33,Background,44,38,151.05263157894737,135.0,352.25,0.3345131120484137,10,10,0,1
Festival,Poisson,33,Total,54,48,157.0,137.5,336.34999999999997,0.32552083333333337,10,10,0,1
Festival,Poisson,34,Target,10,10,143.3,145.0,256.7499999999999,0.2793440334961619,10,10,0,1
Festival,Poisson,34,Background,47,41,142.17073170731706,135.0,240.0,0.2800798363104578,10,10,0,1
Festival,Poisson,34,Total,57,51,142.3921568627451,145.0,267.5,0.2829771952846134,10,10,0,1
Festival,Poisson,35,Target,10,10,143.4,151.5,253.9499999999999,0.27559274755927476,10,10,0,1
Festival,Poisson,35,Background,34,32,123.25,115.0,191.7,0.2264357251521298,10,10,0,1
Festival,Poisson,35,Total,44,42,128.04761904761904,120.0,204.49999999999994,0.2452496059785015,10,10,0,1
Festival,Poisson,36,Target,10,10,141.1,120.0,295.94999999999976,0.3026931254429483,10,10,0,1
Festival,Poisson,36,Background,48,46,140.08695652173913,118.5,271.75,0.321276279923353,10,10,0,1
Festival,Poisson,36,Total,58,56,140.26785714285714,118.5,288.0,0.3210080021824134,10,10,0,1
Festival,Poisson,37,Target,10,10,120.7,90.0,260.59999999999997,0.38947804473902237,10,10,0,1
Festival,Poisson,37,Background,48,40,142.45,125.0,327.8499999999997,0.3731572481572482,10,10,0,1
Festival,Poisson,37,Total,58,50,138.1,115.0,304.89999999999986,0.38049818971759597,10,10,0,1
Festival,Poisson,38,Target,10,10,70.3,71.0,101.85,0.20583214793741111,10,10,0,1
