Scenario,Condition,Seed,VehicleRecords,MaxOccupancy,MeanOccupancy,LastTimestamp
Festival,Uniform,57,1218,9.0,1.8842364532019704,3597.0
Festival,Uniform,58,1135,9.0,2.6070484581497797,3598.0
Festival,Uniform,59,878,9.0,2.080865603644647,3597.0
Festival,Uniform,60,1184,9.0,2.626689189189189,3596.0
Festival,Uniform,61,1148,7.0,2.322299651567944,3598.0
Festival,Uniform,62,1107,9.0,2.2691960252935863,3593.0
Festival,Uniform,63,1299,8.0,2.0284834488067744,3597.0
Festival,Uniform,64,1066,8.0,2.4530956848030017,3597.0
Festival,Uniform,65,1150,7.0,2.222608695652174,3599.0
Festival,Uniform,66,1171,8.0,2.1460290350128095,3598.0
Festival,Uniform,67,1035,6.0,2.0280193236714976,3598.0
Festival,Uniform,68,1083,6.0,1.9418282548476453,3593.0
Festival,Uniform,69,1201,9.0,1.968359700249792,3598.0
Festival,Uniform,70,1057,8.0,2.4635761589403975,3583.0
Festival,Uniform,71,1059,7.0,2.0670443814919737,3599.0
Festival,Uniform,72,1195,6.0,1.895397489539749,3599.0
Festival,Uniform,73,1197,7.0,2.2013366750208854,3593.0
Festival,Uniform,74,1239,8.0,2.278450363196126,3598.0
Festival,Uniform,75,839,7.0,2.038140643623361,3595.0
Festival,Uniform,76,991,7.0,2.2098890010090817,3599.0
Festival,Uniform,77,1068,7.0,2.405430711610487,3596.0
Festival,Uniform,78,998,7.0,2.038076152304609,3595.0
Festival,Uniform,79,1189,8.0,2.0403700588730027,3598.0
Festival,Uniform,80,1034,7.0,1.9642166344294003,3590.0
Festival,Uniform,81,1159,8.0,2.17083692838654,3595.0
Festival,Uniform,82,1113,9.0,2.4141958670260557,3593.0
Festival,Uniform,83,1301,8.0,2.240584166026134,3598.0
Festival,Uniform,84,1534,8.0,1.9126466753585398,3597.0
Festival,Uniform,85,1268,9.0,2.369085173501577,3598.0
Festival,Uniform,86,1187,7.0,2.256950294860994,3599.0
Festival,Uniform,87,1195,7.0,2.189121338912134,3593.0
Festival,Uniform,88,934,7.0,2.126338329764454,3597.0
Festival,Uniform,89,1211,7.0,1.9694467382328653,3599.0
Festival,Uniform,90,1244,7.0,2.2765273311897105,3598.0
Festival,Uniform,91,1239,8.0,2.443906376109766,3597.0
Festival,Uniform,92,1332,7.0,2.3115615615615615,3599.0
Festival,Uniform,93,1382,9.0,2.1635311143270624,3598.0
Festival,Uniform,94,1065,7.0,1.8967136150234742,3597.0
Festival,Uniform,95,1041,8.0,2.0297790585975024,3598.0
Festival,Uniform,96,1026,9.0,2.2144249512670564,3598.0
Festival,Uniform,97,1114,7.0,1.7926391382405744,3596.0
Festival,Uniform,98,1080,9.0,2.414814814814815,3598.0
Festival,Uniform,99,1128,8.0,2.0921985815602837,3595.0
Festival,Uniform,100,1392,8.0,1.8771551724137931,3595.0
Holiday,Poisson,1,1111,8.0,2.7182718271827184,3598.0
Holiday,Poisson,2,989,6.0,2.032355915065723,3599.0
Holiday,Poisson,3,627,8.0,1.8660287081339713,3597.0
Holiday,Poisson,4,917,6.0,1.9825517993456925,3593.0
Holiday,Poisson,5,1216,8.0,2.338815789473684,3595.0
Holiday,Poisson,6,1197,8.0,2.5338345864661656,3597.0
Holiday,Poisson,7,1194,8.0,2.2278056951423784,3599.0
