Scenario,Condition,Seed,TotalSuccessN,TargetSuccessN,TotalWaitSum,TargetWaitSum,TargetWaitBurdenShare,TargetSuccessShare,ExcessBurden
Festival,Poisson,48,61,10,8221.0,806.0,0.0980416007784941,0.16393442622950818,-0.06589282545101409
Festival,Poisson,49,47,10,7842.0,1988.0,0.2535067584799796,0.2127659574468085,0.0407408010331711
Festival,Poisson,50,47,10,6250.0,1710.0,0.2736,0.2127659574468085,0.0608340425531915
Festival,Poisson,51,39,10,5091.0,1541.0,0.3026910233745826,0.2564102564102564,0.0462807669643262
Festival,Poisson,52,43,10,5027.0,1222.0,0.2430873284264969,0.23255813953488372,0.010529188891613195
Festival,Poisson,53,43,10,6023.0,959.0,0.15922297858210194,0.23255813953488372,-0.07333516095278178
Festival,Poisson,54,37,10,4938.0,618.0,0.12515188335358446,0.2702702702702703,-0.14511838691668583
Festival,Poisson,55,48,10,6479.0,1398.0,0.2157740392035808,0.20833333333333334,0.007440705870247449
Festival,Poisson,56,38,10,4291.0,866.0,0.20181775809834537,0.2631578947368421,-0.06134013663849672
Festival,Poisson,57,52,10,6876.0,972.0,0.14136125654450263,0.19230769230769232,-0.05094643576318969
Festival,Poisson,58,52,10,7784.0,1260.0,0.1618705035971223,0.19230769230769232,-0.030437188710570023
Festival,Poisson,59,40,10,4543.0,1197.0,0.26348228043143296,0.25,0.013482280431432958
Festival,Poisson,60,54,10,6037.0,850.0,0.14079840980619512,0.18518518518518517,-0.04438677537899005
Festival,Poisson,61,48,10,6478.0,1042.0,0.16085211485026243,0.20833333333333334,-0.04748121848307091
Festival,Poisson,62,44,10,5238.0,826.0,0.15769377625047729,0.22727272727272727,-0.06957895102224998
Festival,Poisson,63,50,10,6481.0,1281.0,0.19765468291930258,0.2,-0.0023453170806974344
Festival,Poisson,64,42,10,7360.0,2943.0,0.3998641304347826,0.23809523809523808,0.1617688923395445
Festival,Poisson,65,52,10,6129.0,1029.0,0.1678903573176701,0.19230769230769232,-0.024417334990022216
Festival,Poisson,66,50,10,9425.0,2144.0,0.22748010610079575,0.2,0.027480106100795737
Festival,Poisson,67,47,10,5848.0,1263.0,0.21597127222982215,0.2127659574468085,0.003205314783013641
Festival,Poisson,68,51,10,6449.0,644.0,0.09986044347960925,0.19607843137254902,-0.09621798789293977
Festival,Poisson,69,50,10,8448.0,1117.0,0.13222064393939395,0.2,-0.06777935606060606
Festival,Poisson,70,49,10,8596.0,1577.0,0.1834574220567706,0.20408163265306123,-0.020624210596290632
Festival,Poisson,71,46,10,5269.0,1086.0,0.2061112165496299,0.21739130434782608,-0.01128008779819617
Festival,Poisson,72,50,10,7408.0,1637.0,0.22097732181425486,0.2,0.02097732181425485
Festival,Poisson,73,49,10,7157.0,864.0,0.12072097247450049,0.20408163265306123,-0.08336066017856074
Festival,Poisson,74,55,10,10116.0,1843.0,0.18218663503361013,0.18181818181818182,0.0003684532154283049
