Scenario,Condition,Seed,PassengerID,CallTime,WaitTime,ExpectedWaitTime,IncreasedTime,Success,PassengerGroup
Festival,Poisson,5,30,1829,245.0,310.1723868372641,-69.17238683726413,True,Background
Festival,Poisson,5,31,1830,531.0,143.13307884197843,-40.13307884197843,True,Background
Festival,Poisson,5,32,1966,165.0,196.1432288392171,-36.1432288392171,True,Background
Festival,Poisson,5,33,1980,267.0,388.14298754569904,311.85701245430096,True,Background
Festival,Poisson,5,34,2118,638.0,224.12640932616048,270.87359067383954,True,Background
Festival,Poisson,5,35,2125,114.0,106.10719351724823,151.89280648275178,True,Background
Festival,Poisson,5,36,2212,250.0,252.587309712674,487.6986653787242,True,Background
Festival,Poisson,5,37,2214,110.0,23.333223679348,92.88116335514847,True,Background
Festival,Poisson,5,38,2324,196.0,241.21861385990613,-59.2186138599061,True,Background
Festival,Poisson,5,39,2325,230.0,241.57413531277464,117.86309240703764,True,Background
Festival,Poisson,5,40,2521,420.0,263.4022820595061,-56.149463407185294,True,Background
Festival,Poisson,5,41,2598,165.0,238.16785818231776,-29.16785818231773,True,Background
Festival,Poisson,5,42,2734,305.0,328.37306442720126,23.62693557279877,True,Background
Festival,Poisson,5,43,2957,178.0,245.1644189847447,3.8355810152552863,True,Background
Festival,Poisson,5,44,3031,235.0,285.1050067259083,20.894993274091703,True,Background
Festival,Poisson,5,45,3100,415.0,422.5873368066655,22.741501162823987,True,Background
Festival,Poisson,5,46,3328,,,,False,Background
Festival,Poisson,5,47,3430,45.0,29.173852170606903,,True,Background
Festival,Poisson,5,48,3565,,71.11285257748334,,False,Background
Festival,Poisson,6,1,28,75.0,67.09341384228209,253.90658615771792,True,Background
Festival,Poisson,6,2,56,145.0,123.1383905611102,437.8616094388898,True,Background
Festival,Poisson,6,3,107,155.0,228.3305411825317,191.6694588174683,True,Background
Festival,Poisson,6,4,118,25.0,26.256206748775064,397.7437932512249,True,Background
Festival,Poisson,6,5,158,95.0,111.25658192323182,-79.2565819232318,True,Background
Festival,Poisson,6,6,217,204.0,139.18677658861995,91.81322341138004,True,Background
Festival,Poisson,6,7,315,75.0,83.38166694680038,-74.38166694680035,True,Background
Festival,Poisson,6,8,321,235.0,274.0986081517873,-70.09860815178729,True,Background
Festival,Poisson,6,9,336,120.0,28.69765267649721,57.6759005007427,True,Background
Festival,Poisson,6,10,377,215.0,252.2135673454571,22.7864326545429,True,Background
Festival,Poisson,6,11,432,235.0,365.2632958608624,-76.2632958608624,True,Background
Festival,Poisson,6,12,707,135.0,94.04060683805426,-51.04060683805426,True,Background
Festival,Poisson,6,13,899,25.0,0.2342569036301381,-39.234256903630126,True,Background
Festival,Poisson,6,14,984,45.0,41.16454601307581,127.83545398692422,True,Background
Festival,Poisson,6,15,1127,95.0,57.16920087805098,4.830799121949013,True,Background
Festival,Poisson,6,16,1129,55.0,64.32569209415722,-31.32569209415726,True,Background
Festival,Poisson,6,17,1174,185.0,206.118892172923,-36.118892172923,True,Background
Festival,Poisson,6,18,1400,95.0,98.19370012723746,,True,Background
Festival,Poisson,6,19,1476,35.0,29.405166441454472,345.5948335585456,True,Background
Festival,Poisson,6,20,1481,75.0,39.29712382746565,-39.29712382746567,True,Background
Festival,Poisson,6,24,1567,115.0,87.2500260794304,243.7499739205696,True,Background
Festival,Poisson,6,26,1605,65.0,103.39963668092558,-42.3996366809256,True,Background
Festival,Poisson,6,30,1667,183.0,174.24179097134595,44.75820902865405,True,Background
