Scenario,Condition,Seed,Group,N_rows,N_success,MeanWait,MedianWait,P95Wait,Gini,TargetRequestedN,TargetSuccessN,TargetFailedN,TargetComplete10,SuccessRate
Holiday,Synchronized,77,Background,42,38,160.44736842105263,155.0,335.69999999999993,0.342666367411065,10,10,0,1,0.9047619047619048
Holiday,Synchronized,78,Background,37,36,148.80555555555554,140.0,291.25,0.2690197664530313,10,10,0,1,0.972972972972973
Holiday,Synchronized,79,Background,43,42,129.33333333333334,125.0,249.75,0.3152570306473105,10,10,0,1,0.9767441860465116
Holiday,Synchronized,80,Background,33,31,137.5483870967742,95.0,285.0,0.3389215033589541,10,10,0,1,0.9393939393939394
Holiday,Synchronized,81,Background,48,43,168.86046511627907,135.0,394.0999999999999,0.3691976568029901,10,10,0,1,0.8958333333333334
Holiday,Synchronized,82,Background,42,42,157.1904761904762,107.5,396.0999999999999,0.3893048282627198,10,10,0,1,1.0
Holiday,Synchronized,83,Background,50,49,151.87755102040816,135.0,315.79999999999995,0.369507867645849,10,10,0,1,0.98
Holiday,Synchronized,84,Background,47,46,160.6304347826087,135.0,408.75,0.3699594579486546,10,9,1,1,0.9787234042553191
Holiday,Synchronized,85,Background,45,39,205.6153846153846,130.0,532.5000000000001,0.4029404523231684,10,10,0,1,0.8666666666666667
Holiday,Synchronized,86,Background,42,40,135.075,115.0,264.34999999999974,0.3549000555247085,10,10,0,1,0.9523809523809523
Holiday,Synchronized,87,Background,39,39,125.35897435897436,110.0,247.00000000000003,0.3092342306905612,10,10,0,1,1.0
Holiday,Synchronized,88,Background,41,41,104.65853658536584,95.0,285.0,0.3822180286589629,10,10,0,1,1.0
Holiday,Synchronized,89,Background,45,41,182.8780487804878,155.0,497.0,0.3464598689731896,10,10,0,1,0.9111111111111111
Holiday,Synchronized,90,Background,47,43,135.25581395348837,115.0,265.0,0.3480774767281916,10,10,0,1,0.9148936170212766
Holiday,Synchronized,91,Background,46,42,157.66666666666666,150.0,274.49999999999994,0.3035624397750644,10,10,0,1,0.9130434782608695
Holiday,Synchronized,92,Background,45,43,141.58139534883722,135.0,253.0,0.2723543073679063,10,10,0,1,0.9555555555555556
Holiday,Synchronized,93,Background,48,42,170.45238095238096,147.5,308.8999999999999,0.3458084728513559,10,10,0,1,0.875
Holiday,Synchronized,94,Background,39,36,133.66666666666666,135.0,247.5,0.2738870416551215,10,10,0,1,0.9230769230769231
