Scenario,Condition,Seed,Group,N_rows,N_success,MeanWait,MedianWait,P95Wait,Gini,TargetRequestedN,TargetSuccessN,TargetFailedN,TargetComplete10,SuccessRate
Holiday,Uniform,68,Total,52,51,129.2156862745098,105.0,274.0,0.3755779701865571,10,10,0,1,0.9807692307692307
Holiday,Uniform,69,Total,54,47,203.06382978723408,165.0,520.5999999999999,0.4094986713274241,10,10,0,1,0.8703703703703703
Holiday,Uniform,70,Total,52,45,161.0222222222222,125.0,479.7999999999996,0.3977980188303125,10,7,3,1,0.8653846153846154
Holiday,Uniform,71,Total,49,48,127.58333333333331,125.0,225.0,0.3260056063575005,10,10,0,1,0.9795918367346939
Holiday,Uniform,72,Total,50,48,160.39583333333334,132.5,318.25,0.3530355673897042,10,10,0,1,0.96
Holiday,Uniform,73,Total,51,48,146.10416666666666,105.0,453.8,0.3831069680117877,10,10,0,1,0.9411764705882353
Holiday,Uniform,74,Total,56,50,184.14,150.0,408.1499999999999,0.3908222004996198,10,6,4,1,0.8928571428571429
Holiday,Uniform,75,Total,38,35,156.94285714285715,145.0,276.5,0.3041897479909495,10,10,0,1,0.9210526315789473
Holiday,Uniform,76,Total,40,39,116.51282051282053,95.0,235.30000000000013,0.3275550740339473,10,10,0,1,0.975
Holiday,Uniform,77,Total,52,47,138.4468085106383,125.0,317.8999999999996,0.334363320679203,10,10,0,1,0.9038461538461539
Holiday,Uniform,78,Total,47,46,142.6304347826087,117.5,353.0,0.3401357163210805,10,10,0,1,0.9787234042553191
Holiday,Uniform,79,Total,53,49,144.24489795918367,150.0,248.0,0.2585034013605442,10,10,0,1,0.9245283018867925
Holiday,Uniform,80,Total,43,42,149.3095238095238,125.0,298.4999999999999,0.3219772042128923,10,10,0,1,0.9767441860465116
Holiday,Uniform,81,Total,58,54,163.2962962962963,130.5,388.15,0.3271758944247036,10,10,0,1,0.9310344827586207
Holiday,Uniform,82,Total,52,49,181.7142857142857,135.0,407.9999999999999,0.3651282615472064,10,9,1,1,0.9423076923076923
Holiday,Uniform,83,Total,60,59,149.08474576271186,130.0,321.3999999999997,0.3586684240139971,10,10,0,1,0.9833333333333333
Holiday,Uniform,84,Total,57,57,183.59649122807016,155.0,422.3999999999997,0.333982112471815,10,10,0,1,1.0
Holiday,Uniform,85,Total,55,45,210.7555555555556,155.0,494.0,0.3625287033131824,10,10,0,1,0.8181818181818182
Holiday,Uniform,86,Total,52,51,133.1764705882353,105.0,340.0,0.3715155084413035,10,10,0,1,0.9807692307692307
Holiday,Uniform,87,Total,49,49,133.6122448979592,110.0,255.0,0.3044360557725458,10,10,0,1,1.0
Holiday,Uniform,88,Total,51,50,89.96,65.0,185.0,0.3517652289906625,10,10,0,1,0.9803921568627451
Holiday,Uniform,89,Total,55,49,135.14285714285714,105.0,288.9999999999999,0.3386053908123201,10,10,0,1,0.8909090909090909
Holiday,Uniform,90,Total,57,54,151.0,125.0,315.99999999999966,0.3493173084784564,10,10,0,1,0.9473684210526315
Holiday,Uniform,91,Total,56,52,151.67307692307693,135.0,267.25,0.3001116735426358,10,10,0,1,0.9285714285714286
Holiday,Uniform,92,Total,55,52,142.32692307692307,122.5,263.9999999999999,0.3219341461133111,10,10,0,1,0.9454545454545454
Holiday,Uniform,93,Total,58,51,194.80392156862743,165.0,490.0,0.3510109831552148,10,10,0,1,0.8793103448275862
Holiday,Uniform,94,Total,49,46,142.93478260869566,130.0,248.75,0.3052173913043478,10,10,0,1,0.9387755102040817
Holiday,Uniform,95,Total,48,45,118.64444444444445,125.0,213.4,0.2971925662317121,10,10,0,1,0.9375
Holiday,Uniform,96,Total,49,49,126.14285714285714,110.0,268.9999999999998,0.3121613634937877,10,10,0,1,1.0
Holiday,Uniform,97,Total,53,50,163.44,135.0,408.75,0.3587126774351444,10,10,0,1,0.9433962264150944
Holiday,Uniform,98,Total,48,42,134.35714285714286,110.0,300.19999999999993,0.3620878796317393,10,10,0,1,0.875
Holiday,Uniform,99,Total,49,48,140.89583333333334,130.0,243.95,0.3074110355364975,10,10,0,1,0.9795918367346939
